REP_PERIOD;FUND_TYP;COD_BUDGET;COD_INCO;NAME_INC;ZAT_AMT;PLANS_AMT;FAKT_AMT
01.2021;C;25552000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;18335100;;1144500
01.2021;T;25552000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;18335100;0;1144500
01.2021;C;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;;205781.79
01.2021;T;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;0;205781.79
01.2021;C;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;;150
01.2021;T;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;0;150
01.2021;C;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;;17709.82
01.2021;T;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;0;17709.82
01.2021;C;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;;7576.33
01.2021;T;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;0;7576.33
01.2021;C;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;;22497.85
01.2021;T;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;0;22497.85
01.2021;C;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;;36135.3
01.2021;T;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;0;36135.3
01.2021;C;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;;5.77
01.2021;T;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;0;5.77
01.2021;C;25552000000;14021900;Пальне;410000;;0
01.2021;T;25552000000;14021900;Пальне;410000;0;0
01.2021;C;25552000000;14031900;Пальне;1900000;;0
01.2021;T;25552000000;14031900;Пальне;1900000;0;0
01.2021;C;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;;36902
01.2021;T;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;0;36902
01.2021;C;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;;278.65
01.2021;T;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;0;278.65
01.2021;C;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;;0
01.2021;T;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;0;0
01.2021;C;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;;0
01.2021;T;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;0;0
01.2021;C;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;;17664.98
01.2021;T;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;0;17664.98
01.2021;C;25552000000;18010500;Земельний податок з юридичних осіб;2000000;;32216.42
01.2021;T;25552000000;18010500;Земельний податок з юридичних осіб;2000000;0;32216.42
01.2021;C;25552000000;18010600;Орендна плата з юридичних осіб;3000000;;483330.21
01.2021;T;25552000000;18010600;Орендна плата з юридичних осіб;3000000;0;483330.21
01.2021;C;25552000000;18010700;Земельний податок з фізичних осіб;0;;3162.43
01.2021;T;25552000000;18010700;Земельний податок з фізичних осіб;0;0;3162.43
01.2021;C;25552000000;18010800;Реструктурована сума заборгованості з плати за землю;800000;;0
01.2021;T;25552000000;18010800;Реструктурована сума заборгованості з плати за землю;800000;0;0
01.2021;C;25552000000;18010900;Орендна плата з фізичних осіб;1701400;;4835.72
01.2021;T;25552000000;18010900;Орендна плата з фізичних осіб;1701400;0;4835.72
01.2021;C;25552000000;18011100;Транспортний податок з юридичних осіб;0;;6250
01.2021;T;25552000000;18011100;Транспортний податок з юридичних осіб;0;0;6250
01.2021;C;25552000000;18050300;Єдиний податок з юридичних осіб;50000;;214.35
01.2021;T;25552000000;18050300;Єдиний податок з юридичних осіб;50000;0;214.35
01.2021;C;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;;115486.25
01.2021;T;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;0;115486.25
01.2021;C;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;;271063.39
01.2021;T;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;0;271063.39
01.2021;S;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;4016.62
01.2021;T;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;4016.62
01.2021;S;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;178.25
01.2021;T;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;178.25
01.2021;C;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;;0
01.2021;T;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;0;0
01.2021;C;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;;479.6
01.2021;T;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;0;479.6
01.2021;C;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;;1.65
01.2021;T;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;0;1.65
01.2021;S;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;90.91
01.2021;T;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;90.91
01.2021;S;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;11471.6
01.2021;T;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;11471.6
01.2021;S;25552000000;25020000;Інші джерела власних надходжень бюджетних установ;100000;100000;0
01.2021;T;25552000000;25020000;Інші джерела власних надходжень бюджетних установ;100000;100000;0
01.2021;C;25552000000;41020100;Базова дотація;10932400;;911000
01.2021;T;25552000000;41020100;Базова дотація;10932400;0;911000
02.2021;C;25552000000;41051500;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері охорони здоров'я за рахунок коштів медичної субвенції;78600;;0
02.2021;T;25552000000;41051500;Субвенція з місцевого бюджету на здійснення переданих видатків у сфері охорони здоров'я за рахунок коштів медичної субвенції;78600;0;0
02.2021;C;25552000000;41053900;Інші субвенції з місцевого бюджету;3300;;2200
02.2021;T;25552000000;41053900;Інші субвенції з місцевого бюджету;3300;0;2200
02.2021;C;25552000000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;0;;52400
02.2021;T;25552000000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;0;0;52400
02.2021;C;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;;1237570.08
02.2021;T;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;0;1237570.08
02.2021;C;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;;90
02.2021;T;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;0;90
02.2021;C;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;;23714.01
02.2021;T;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;0;23714.01
02.2021;C;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;;10580.49
02.2021;T;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;0;10580.49
02.2021;C;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;;22497.85
02.2021;T;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;0;22497.85
02.2021;C;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;;118668.55
02.2021;T;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;0;118668.55
02.2021;C;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;;51.26
02.2021;T;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;0;51.26
02.2021;C;25552000000;14021900;Пальне;410000;;0
02.2021;T;25552000000;14021900;Пальне;410000;0;0
02.2021;C;25552000000;14031900;Пальне;1900000;;0
02.2021;T;25552000000;14031900;Пальне;1900000;0;0
02.2021;C;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;;76899
02.2021;T;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;0;76899
02.2021;C;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;;6778.65
02.2021;T;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;0;6778.65
02.2021;C;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;;0
02.2021;T;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;0;0
02.2021;C;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;;0
02.2021;T;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;0;0
02.2021;C;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;;25676.67
02.2021;T;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;0;25676.67
02.2021;C;25552000000;18010500;Земельний податок з юридичних осіб;2000000;;59848.51
02.2021;T;25552000000;18010500;Земельний податок з юридичних осіб;2000000;0;59848.51
02.2021;C;25552000000;18010600;Орендна плата з юридичних осіб;3000000;;1041153.01
02.2021;T;25552000000;18010600;Орендна плата з юридичних осіб;3000000;0;1041153.01
02.2021;C;25552000000;18010700;Земельний податок з фізичних осіб;800000;;5675.43
02.2021;T;25552000000;18010700;Земельний податок з фізичних осіб;800000;0;5675.43
02.2021;C;25552000000;18010900;Орендна плата з фізичних осіб;1701400;;25411.07
02.2021;T;25552000000;18010900;Орендна плата з фізичних осіб;1701400;0;25411.07
02.2021;C;25552000000;18011100;Транспортний податок з юридичних осіб;0;;6250
02.2021;T;25552000000;18011100;Транспортний податок з юридичних осіб;0;0;6250
02.2021;C;25552000000;18050300;Єдиний податок з юридичних осіб;50000;;3521.35
02.2021;T;25552000000;18050300;Єдиний податок з юридичних осіб;50000;0;3521.35
02.2021;C;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;;412556.42
02.2021;T;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;0;412556.42
02.2021;C;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;;314436.64
02.2021;T;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;0;314436.64
02.2021;S;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;5411.05
02.2021;T;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;5411.05
02.2021;S;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;191.25
02.2021;T;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;191.25
02.2021;C;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;;255
02.2021;T;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;0;255
02.2021;C;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;;1169.22
02.2021;T;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;0;1169.22
02.2021;C;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;;9.62
02.2021;T;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;0;9.62
02.2021;S;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;90.91
02.2021;T;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;90.91
02.2021;S;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;36959.6
02.2021;T;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;36959.6
02.2021;S;25552000000;25020000;Інші джерела власних надходжень бюджетних установ;100000;100000;0
02.2021;T;25552000000;25020000;Інші джерела власних надходжень бюджетних установ;100000;100000;0
02.2021;C;25552000000;41020100;Базова дотація;10932400;;1822000
02.2021;T;25552000000;41020100;Базова дотація;10932400;0;1822000
02.2021;C;25552000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;18335100;;2480700
02.2021;T;25552000000;41033900;Освітня субвенція з державного бюджету місцевим бюджетам;18335100;0;2480700
03.2021;C;25552000000;41051200;Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету;30900;;4596
03.2021;T;25552000000;41051200;Субвенція з місцевого бюджету на надання державної підтримки особам з особливими освітніми потребами за рахунок відповідної субвенції з державного бюджету;30900;0;4596
03.2021;C;25552000000;41053900;Інші субвенції з місцевого бюджету;12600;;3300
03.2021;T;25552000000;41053900;Інші субвенції з місцевого бюджету;12600;0;3300
03.2021;C;25552000000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;173100;;83800
03.2021;T;25552000000;41055000;Субвенція з місцевого бюджету на здійснення підтримки окремих закладів та заходів у системі охорони здоров'я за рахунок відповідної субвенції з державного бюджету;173100;0;83800
03.2021;C;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;;1907200.76
03.2021;T;25552000000;11010100;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку у вигляді заробітної плати;6700000;0;1907200.76
03.2021;C;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;;90
03.2021;T;25552000000;11010200;Податок на доходи фізичних осіб з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, що сплачується податковими агентами;0;0;90
03.2021;C;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;;29419.13
03.2021;T;25552000000;11010400;Податок на доходи фізичних осіб, що сплачується податковими агентами, із доходів платника податку інших ніж заробітна плата;3500000;0;29419.13
03.2021;C;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;;20073.32
03.2021;T;25552000000;11010500;Податок на доходи фізичних осіб, що сплачується фізичними особами за результатами річного декларування;1460000;0;20073.32
03.2021;C;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;;34560.22
03.2021;T;25552000000;13010100;Рентна плата за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування;0;0;34560.22
03.2021;C;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;;132981.55
03.2021;T;25552000000;13010200;Рентна плата за спеціальне використання лісових ресурсів (крім рентної плати за спеціальне використання лісових ресурсів в частині деревини, заготовленої в порядку рубок головного користування);700000;0;132981.55
03.2021;C;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;;256.88
03.2021;T;25552000000;13030100;Рентна плата за користування надрами для видобування інших корисних копалин загальнодержавного значення;0;0;256.88
03.2021;C;25552000000;14021900;Пальне;410000;;84148
03.2021;T;25552000000;14021900;Пальне;410000;0;84148
03.2021;C;25552000000;14031900;Пальне;1900000;;283507.46
03.2021;T;25552000000;14031900;Пальне;1900000;0;283507.46
03.2021;C;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;;109668
03.2021;T;25552000000;14040000;Акцизний податок з реалізації суб'єктами господарювання роздрібної торгівлі підакцизних товарів;600000;0;109668
03.2021;C;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;;278.65
03.2021;T;25552000000;18010100;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів житлової нерухомості;10000;0;278.65
03.2021;C;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;;0
03.2021;T;25552000000;18010200;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів житлової нерухомості;150000;0;0
03.2021;C;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;;504.38
03.2021;T;25552000000;18010300;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений фізичними особами, які є власниками об'єктів нежитлової нерухомості;450000;0;504.38
03.2021;C;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;;32176.67
03.2021;T;25552000000;18010400;Податок на нерухоме майно, відмінне від земельної ділянки, сплачений юридичними особами, які є власниками об'єктів нежитлової нерухомості;90000;0;32176.67
03.2021;C;25552000000;18010500;Земельний податок з юридичних осіб;2000000;;105752.36
03.2021;T;25552000000;18010500;Земельний податок з юридичних осіб;2000000;0;105752.36
03.2021;C;25552000000;18010600;Орендна плата з юридичних осіб;3000000;;1555375.22
03.2021;T;25552000000;18010600;Орендна плата з юридичних осіб;3000000;0;1555375.22
03.2021;C;25552000000;18010700;Земельний податок з фізичних осіб;800000;;5755.93
03.2021;T;25552000000;18010700;Земельний податок з фізичних осіб;800000;0;5755.93
03.2021;C;25552000000;18010900;Орендна плата з фізичних осіб;1701400;;41082.39
03.2021;T;25552000000;18010900;Орендна плата з фізичних осіб;1701400;0;41082.39
03.2021;C;25552000000;18011100;Транспортний податок з юридичних осіб;0;;6250
03.2021;T;25552000000;18011100;Транспортний податок з юридичних осіб;0;0;6250
03.2021;C;25552000000;18050300;Єдиний податок з юридичних осіб;50000;;4187.05
03.2021;T;25552000000;18050300;Єдиний податок з юридичних осіб;50000;0;4187.05
03.2021;C;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;;618478.66
03.2021;T;25552000000;18050400;Єдиний податок з фізичних осіб;1800000;0;618478.66
03.2021;C;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;;332891.54
03.2021;T;25552000000;18050500;"Єдиний податок з сільськогосподарських товаровиробників, у яких частка сільськогосподарського товаровиробництва за попередній податковий (звітний) рік дорівнює або перевищує 75 відсотків""";1400000;0;332891.54
03.2021;S;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;5809.47
03.2021;T;25552000000;19010100;Екологічний податок, який справляється за викиди в атмосферне повітря забруднюючих речовин стаціонарними джерелами забруднення (за винятком викидів в атмосферне повітря двоокису вуглецю);0;0;5809.47
03.2021;S;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;191.25
03.2021;T;25552000000;19010300;Надходження від розміщення відходів у спеціально відведених для цього місцях чи на об'єктах, крім розміщення окремих видів відходів як вторинної сировини;0;0;191.25
03.2021;C;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;;10540
03.2021;T;25552000000;21081100;Адміністративні штрафи та інші санкції;5000;0;10540
03.2021;C;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;;2428.48
03.2021;T;25552000000;22012500;Плата за надання інших адміністративних послуг;600000;0;2428.48
03.2021;C;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;;18.23
03.2021;T;25552000000;22090100;Державне мито, що сплачується за місцем розгляду та оформлення документів, у тому числі за оформлення документів на спадщину і дарування;0;0;18.23
03.2021;S;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;227.28
03.2021;T;25552000000;24062100;Грошові стягнення за шкоду, заподіяну порушенням законодавства про охорону навколишнього природного середовища внаслідок господарської та іншої діяльності;0;0;227.28
03.2021;S;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;66060.4
03.2021;T;25552000000;25010000;Надходження від плати за послуги, що надаються бюджетними установами згідно із законодавством;600000;600000;66060.4
03.2021;S;25552000000;25020000;Інші джерела власних надходжень бюджетних установ;100000;102940;1500
